ชื่อไทย,ชื่อสามัญ,ชื่อวิทยาศาสตร์,วงศ์ (Family),ถิ่นกำเนิด,รายละเอียด,อ้างอิง (Credit),ประเภท (Catalogy)
สากแดง,Red tail barracuda ,Acestrorhynchus falcatus ,Acestrorhynchidae,ประเทศเปรู,"เป็นปลาขนาดใหญ่อุปนิสัยชอบอยู่รวมกันเป็นฝูงเล็ก ๆ ควรเลี้ยงเป็นฝูง ไม่ต่ำกว่า 3-4 ตัว ในตู้ปลาที่ตกแต่งด้วยก้อนหินและพรรณไม้น้ำลำตัวเพรียว พื้นลำตัวสีเทาอมเงิน มีลายกลางลำตัวสีคล้ำ โคนหางมีสีคล้ำ ขนาดโตเต็มที่ได้ไม่เกิน 1 ฟุต 
",อรุณี รอดลอย และคณะ,ปลาต่างประเทศขนาดใหญ่
"แบล็คเตตร้า, แบล็คกามัวร์","Black tetra, Blackamoor, Petticoat fish ",Gymnocorymbus ternetzi ,Characidae,ทวีปอเมริกาใต้และอเมริกากลาง,เป็นปลาที่มีความปราดเปรียว เลี้ยงเป็นฝูงในตู้ที่ตกแต่งด้วยพรรณไม้น้ำ ลักษณะลำตัวแบนข้างมาก ครีบและหางมีลักษณะยาว พื้นลำตัวมีสีเงิน มีแถบสีดำ 2 แถบ อยู่ที่ลำตัวใกล้กับส่วนหัว ครีบหลังและครีบก้นมีสีดำ เกล็ดมีขนาดเล็ก ,ศูนย์เทคโนโลยีสารสนเทศและการสื่อสาร และกองวิจัยและพัฒนาประมงน้ำจืด,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
โกลว์ไลท์ เตตร้า,Glowlight tetra,Hemigrammus erythrozonus ,Characidae,ทวีปอเมริกาใต้ แม่น้ำ Essequibo ในประเทศกายอานา,เป็นปลาที่มีความปราดเปรียว นิยมนำมาเลี้ยงเป็นฝูงในตู้พรรณไม้น้ำ โดยเลี้ยงรวมกับปลาชนิดอื่นในกลุ่ม tetra อุปนิสัยรักสงบ ไม่ก้าวร้าว ขนาดเฉลี่ย 4-5 ซม. ลำตัวมีสีเงิน มีแถบสีส้มแดงพาดยาวบริเวณข้างลำตัว ตั้งแต่ปลายปากจรดโคนหางรวมทั้งบริเวณส่วนหน้าของครีบหลังเป็นสีเดียวกันเหมือนเป็นริ้ว ๆ ครีบอื่นมีสีเงินโปร่งใส ,อรุณี รอดลอย,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
รัมมี่โนส,"Banded rummy nose, Rummy-nose tetra",Hemigrammus rhodostomus ,Characidae,แถบทวีปอเมริกาใต้ พบได้ในประเทศบราซิล โคลัมเบียและเปรู,เป็นปลาที่มีความปราดเปรียว นิยมนำมาเลี้ยงเป็นฝูงในตู้พรรณไม้น้ำ โดยเลี้ยงรวมกับปลาชนิดอื่นในกลุ่ม tetra เล็ก มีลักษณะและสีสันเด่นสะดุดตา รูปร่างเพรียว ลำตัวสีเหลืองอ่อน มีสีแดงเข้มที่บริเวณแผ่นปิดเหงือกและจะงอยปาก ครีบหางมีลายแถบสลับสีดำสลับขาว ส่วนของโคนหางมีแต้มสีดำรูปสี่เหลี่ยม ในธรรมชาติปลาชนิดนี้ชอบอยู่รวมกันเป็นฝูง คุณสมบัติของน้ำเป็นกรดเล็กน้อย และขยายพันธุ์ค่อนข้างยาก,อรุณี รอดลอย,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
บัวโนส ไอเรส,Buenos Aires tetra,Hyphessobrycon anisitsi ,Characidae,ประเทศบราซิลและปารากวัย,เป็นปลาขนาดเล็ก ขนาดประมาณ 5-6 ซม. นิยมนำมาเลี้ยงเป็นฝูงในตู้พรรณไม้น้ำ มีนิสัยรักสงบ ลำตัวมีสีเหมือนโลหะ (metallic) ปลายครีบทุกครีบมีสีแดง และมีลายแต้มสีดำบริเวณครีบหลัง ,อรุณี รอดลอย และคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
"เซอร์เป้ เตตร้า, เซเป้ เตตร้า",Serpae tetra ,Hyphessobrycon eques ,Characidae,ลุ่มน้ำอเมซอนในทวีปอเมริกาใต้,เป็นปลาในตระกูลเตตร้าขนาดเล็ก มีความปราดเปรียวว่องไว และค่อนข้างดุร้าย นิยมนำมาเลี้ยงเป็นฝูงในตู้พรรณไม้น้ำ ลำตัวมีลักษณะลึกและแบนข้าง พื้นลำตัวมีสีน้ำตาลอมแดง ครีบหลังและครีบท้องมีสีดำ ปลายครีบสีขาว ลำตัวมีจุดสีดำประแต้มอยู่ข้างละ 1 จุด เกล็ดมีขนาดเล็ก,อรุณี รอดลอย และคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
นีออนดำ,Black neon tetra ,Hyphessobrycon herbertaxelrodi ,Characidae,ประเทศบราซิล,เป็นปลาขนาดเล็กนิยมนำมาเลี้ยงเป็นฝูงในตู้พรรณไม้น้ำ สามารถเลี้ยงรวมกับปลาชนิดอื่นในกลุ่ม tetra ได้อย่างดี ลักษณะมีลำตัวเพรียวยาวแบนข้าง พื้นลำตัวสีน้ำตาล บริเวณข้างลำตัวมีแถบีขาวเรืองแสงและแถบสีดำพาดตามความยาวของลำตัว ขอบตาด้านบนมีสีแดง ,อรุณี รอดลอย และคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
เรด แฟนทอม เตตร้า,Red phantom tetra,Hyphessobrycon sweglesi ,Characidae,ทวีปอเมริกาใต้,เป็นปลาขนาดเล็กสีแดงสดสวยงาม นิสัยรักสงบ ขนาดเฉลี่ยประมาณ 3-4 ซม. ซึ่งนิยมเลี้ยงในตู้พรรณไม้น้ำ มีความปราดเปรียวว่องไวในการว่ายน้ำ ในธรรมชาติอาศัยอยู่ในน้ำที่ค่อนข้างเป็นกรด ชอบอยู่รวมกันเป็นฝูง ลำตัวของเพศผู้จะเพรียวบางกว่าเพศเมีย เพศผู้จะมีครีบหลังที่ยาวกว่าและโดยส่วนมากจะมีสีแดง แต่เพศเมียจะมีจุดสีดำและมีสีขาวที่ปลายครีบหลัง ,ศูนย์เทคโนโลยีสารสนเทศและการสื่อสาร และกองวิจัยและพัฒนาประมงน้ำจืด,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
เอ็มเพอเรอ เตตร้า,Emperor tetra,Nematobrycon palmeri ,Characidae,ประเทศโคลัมเบีย,เป็นปลาขนาดเล็ก ขนาดโตเต็มที่ยาวประมาณ 6 ซม. อุปนิสัยชอบอยู่รวมกันเป็นฝูง รักสงบ เลี้ยงเป็นฝูงเล็ก ๆ ในตู้พรรณไม้น้ำ ลักษณะมีลำตัวเพรียวยาวแบนข้างเล็กน้อย พื้นลำตัวสีน้ำตาลอมเหลือง บริเวณข้างลำตัวมีแถบสีดำพาดตามความยาวของลำตัวตั้งแต่ปลายปากจรดปลายหาง เพศผู้มีสีสันสดใส เพศเมียจะมีขนาดเล็กกว่าเล็กน้อย ,อรุณี รอดลอย และคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
เพนกวิน เตตร้า,"Boehlke’s penguin, Blackline penguinfish",Thayeria boehlkei ,Characidae,ลุ่มเเม่น้ำอเมซอนในประเทศบราซิล ทวีปอเมริกาใต้,เป็นปลาขนาดเล็ก อุปนิสัยชอบอยู่รวมกันเป็นฝูง รักสงบ เลี้ยงเป็นฝูงเล็ก ๆ ในตู้พรรณไม้น้ำเลี้ยงรวมกับปลาอื่นได้ ลักษณะเด่นคือ จะมีแถบสีดำและสีเหลืองทองพาดตามความยาวของลำตัวจรดปลายแพนครีบหางด้านล่าง ทำให้ดูแปลกตา เป็นปลาขนาดเล็ก ชอบอยู่รวมกันเป็นฝูง โดยว่ายน้ำลอยตัวเชิดหัวขึ้นไปทางเดียวกัน ,อรุณี รอดลอย และคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
